Nr.;Jahr;Gemeindeteilschlüssel;Gemeindeteilebene;Gemeindeteilname;Bevölkerung am Ort der Hauptwohnung insgesamt;Bevölkerung am Ort der Hauptwohnung weiblich;Bevölkerung am Ort der Hauptwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Ausländer
2;2017;0010;Stadtteil;Innenstadt/Jungbusch;30566;14184;11942;18624;13188
4;2017;0030;Stadtteil;Neckarstadt-Ost;33211;16820;16300;16911;9253
14;2017;0092;Stadtteil;Neuhermsheim;4556;2343;2662;1894;684
8;2017;0060;Stadtteil;Sandhofen;13689;6924;9158;4531;2485
7;2017;0050;Stadtteil;Lindenhof;13441;7090;9055;4386;2063
20;2017;0140;Stadtteil;Wallstadt;7956;4101;6151;1805;632
22;2017;0161;Stadtteil;Neckarau;15832;7838;9505;6327;3777
24;2017;0163;Stadtteil;Almenhof;6992;3497;4426;2566;1474
26;2016;0000;Stadt;Mannheim;316265;157138;174871;138722;79106
77;2014;0010;Stadtteil;Innenstadt/Jungbusch;30180;13847;11689;18491;13258
104;2013;0030;Stadtteil;Neckarstadt-Ost;31831;16096;16336;15495;8514
92;2014;0110;Stadtteil;Friedrichsfeld;5401;2695;3851;1550;884
67;2015;0110;Stadtteil;Friedrichsfeld;5394;2694;3798;1596;925
86;2014;0082;Stadtteil;Gartenstadt;10465;5402;8077;2388;877
88;2014;0091;Stadtteil;Neuostheim;2812;1472;2121;691;330
62;2015;0083;Stadtteil;Luzenberg;3107;1480;963;2144;1413
80;2014;0041;Stadtteil;Oststadt;12182;6250;8333;3849;2069
74;2015;0163;Stadtteil;Almenhof;6863;3499;4518;2345;1333
60;2015;0081;Stadtteil;Waldhof;10753;5362;6077;4676;2667
31;2016;0042;Stadtteil;Schwetzingerstadt;10209;5080;5447;4707;2960
46;2016;0150;Stadtteil;Feudenheim;14536;7546;10884;3502;1812
38;2016;0091;Stadtteil;Neuostheim;2829;1458;2055;747;374
43;2016;0120;Stadtteil;Käfertal;27219;12969;14372;12618;7139
45;2016;0140;Stadtteil;Wallstadt;7914;4080;6104;1721;606
49;2016;0163;Stadtteil;Almenhof;6867;3449;4370;2438;1390
55;2015;0041;Stadtteil;Oststadt;12323;6326;8307;4016;2166
34;2016;0070;Stadtteil;Schönau;13036;6487;6874;6048;3248
47;2016;0161;Stadtteil;Neckarau;15636;7801;9428;6088;3634
35;2016;0081;Stadtteil;Waldhof;10963;5478;5855;5001;2919
121;2013;0150;Stadtteil;Feudenheim;14061;7476;11336;2725;1140
118;2013;0120;Stadtteil;Käfertal;23834;12076;14758;9076;3978
109;2013;0070;Stadtteil;Schönau;12983;6558;7311;5672;2898
124;2013;0163;Stadtteil;Almenhof;6770;3456;4520;2250;1209
3;2017;0020;Stadtteil;Neckarstadt-West;21082;9688;6658;14424;10679
1;2017;0000;Stadt;Mannheim;318910;158749;177451;141459;80664
56;2015;0042;Stadtteil;Schwetzingerstadt;10062;5006;5523;4539;2848
78;2014;0020;Stadtteil;Neckarstadt-West;21315;9620;7045;14270;10700
79;2014;0030;Stadtteil;Neckarstadt-Ost;32262;16283;16245;16017;8876
64;2015;0092;Stadtteil;Neuhermsheim;4606;2384;2696;1910;710
61;2015;0082;Stadtteil;Gartenstadt;10446;5388;7996;2450;879
68;2015;0120;Stadtteil;Käfertal;27079;12957;14704;12375;7062
69;2015;0130;Stadtteil;Vogelstang;12728;6631;6718;6010;1851
57;2015;0050;Stadtteil;Lindenhof;13148;6963;8997;4151;1924
59;2015;0070;Stadtteil;Schönau;13122;6568;7106;6016;3221
76;2014;0000;Stadt;Mannheim;311470;155504;180562;130908;73444
52;2015;0010;Stadtteil;Innenstadt/Jungbusch;30408;13904;11600;18808;13472
53;2015;0020;Stadtteil;Neckarstadt-West;22388;9698;6909;15479;11903
54;2015;0030;Stadtteil;Neckarstadt-Ost;32645;16461;16269;16376;9130
42;2016;0110;Stadtteil;Friedrichsfeld;5406;2703;3743;1629;943
36;2016;0082;Stadtteil;Gartenstadt;10378;5355;7737;2499;878
48;2016;0162;Stadtteil;Niederfeld;7419;3905;5139;2214;1049
